Dataset,Model,Accuracy,Training_Time,Trust_Score,Trust_Level,Explainability,Robustness,Bias_Shift,Concept_Drift,CUDA,Color,Description
iris,Random Forest,0.9111111111111111,0.1793375015258789,0.6673741708719105,Умеренное доверие,0.18180461334483033,0.9821744184465946,0.001,0.001,False,#2E8B57,Ансамбль решающих деревьев
iris,MLP Neural Network (CPU),0.7777777777777778,0.04090261459350586,0.6496734607677344,Умеренное доверие,0.18574405585961293,0.917919461412964,0.001,0.001,False,#4169E1,Многослойный персептрон (CPU)
iris,Support Vector Machine,0.9111111111111111,0.005144357681274414,0.6290434757002097,Умеренное доверие,0.18666615732627465,0.8479233758989992,0.001,0.001,False,#DC143C,Метод опорных векторов
iris,Gradient Boosting,0.9333333333333333,0.16990876197814941,0.6814325530826705,Умеренное доверие,0.22190449555876288,0.9755691828638844,0.001,0.001,False,#FF8C00,Градиентный бустинг
iris,MLP Neural Network (CUDA),0.7555555555555555,0.8402862548828125,0.6545391450182423,Умеренное доверие,0.18292566341546715,0.9378962655068516,0.001,0.001,False,#8A2BE2,Многослойный персептрон (CPU адаптивный)
iris,XANFIS,0.37777777777777777,0.35335469245910645,0.62272691793212,Умеренное доверие,0.18165242403510987,0.8335531610602536,0.001,0.001,False,#9932CC,Adaptive Neuro-Fuzzy Inference System
breast_cancer,Random Forest,0.9415204678362573,0.17743468284606934,0.571404986526524,Низкое доверие,0.17892774005970327,0.9398037216555746,0.001,0.001,False,#2E8B57,Ансамбль решающих деревьев
breast_cancer,MLP Neural Network (CPU),0.9707602339181286,0.06308293342590332,0.5710028956141704,Низкое доверие,0.1423807912283409,0.9993749999999999,0.001,0.001,False,#4169E1,Многослойный персептрон (CPU)
breast_cancer,Support Vector Machine,0.9824561403508771,0.011848926544189453,0.5711903956141704,Низкое доверие,0.1423807912283409,1.0,0.001,0.001,False,#DC143C,Метод опорных векторов
breast_cancer,Gradient Boosting,0.9532163742690059,0.5210459232330322,0.5798161163512917,Низкое доверие,0.2184395295413614,0.9019878386020368,0.001,0.001,False,#FF8C00,Градиентный бустинг
breast_cancer,MLP Neural Network (CUDA),0.9707602339181286,0.2016301155090332,0.4826055341243801,Низкое доверие,0.15898754141136204,0.6770392113956636,0.001,0.001,False,#8A2BE2,Многослойный персептрон (CPU адаптивный)
wine,Random Forest,1.0,0.17955255508422852,0.6729589460518954,Умеренное доверие,0.18409571932995958,0.9977355277330389,0.001,0.001,False,#2E8B57,Ансамбль решающих деревьев
wine,MLP Neural Network (CPU),0.9074074074074074,0.02188420295715332,0.6542532116644302,Умеренное доверие,0.13563302916107564,1.0,0.001,0.001,False,#4169E1,Многослойный персептрон (CPU)
wine,Support Vector Machine,0.9814814814814815,0.0031235218048095703,0.6542532116644302,Умеренное доверие,0.13563302916107564,1.0,0.001,0.001,False,#DC143C,Метод опорных векторов
wine,Gradient Boosting,0.9814814814814815,0.25548672676086426,0.6924115122076648,Умеренное доверие,0.23302473402648005,0.9973387286569098,0.001,0.001,False,#FF8C00,Градиентный бустинг
wine,MLP Neural Network (CUDA),0.9629629629629629,0.08993768692016602,0.6269801969174207,Умеренное доверие,0.1846964228375883,0.8436720926079514,0.001,0.001,False,#8A2BE2,Многослойный персептрон (CPU адаптивный)
wine,XANFIS,0.46296296296296297,0.2868616580963135,0.6206724155963035,Умеренное доверие,0.18403918513214235,0.8235224718114885,0.001,0.001,False,#9932CC,Adaptive Neuro-Fuzzy Inference System
digits_binary,Random Forest,1.0,0.17843985557556152,0.66551022011393,Умеренное доверие,0.1638298498436249,0.9999276005882669,0.001,0.001,False,#2E8B57,Ансамбль решающих деревьев
digits_binary,MLP Neural Network (CPU),0.9977777777777778,0.10962796211242676,0.5909066747592224,Низкое доверие,0.17491944466413287,0.7364629896452312,0.001,0.001,False,#4169E1,Многослойный персептрон (CPU)
digits_binary,Support Vector Machine,1.0,0.021383047103881836,0.6555484663267148,Умеренное доверие,0.1397857999631284,0.998780487804878,0.001,0.001,False,#DC143C,Метод опорных векторов
digits_binary,Gradient Boosting,1.0,0.45603299140930176,0.6887970655852633,Умеренное доверие,0.2222127243901125,0.9997065860973944,0.001,0.001,False,#FF8C00,Градиентный бустинг
digits_binary,MLP Neural Network (CUDA),1.0,0.49163818359375,0.6199700999176934,Умеренное доверие,0.16334735685385793,0.8487705239205005,0.001,0.001,False,#8A2BE2,Многослойный персептрон (CPU адаптивный)
